日期,鉅亨_每日原始總分,鉅亨_左側情緒分類,兆豐_每日原始總分,兆豐_左側情緒分類,PTT_每日原始總分,PTT_左側情緒分類
2020-10-26,14.0,-1.0,-2.0,1.0,1,-1
2020-10-27,16.0,-1.0,2.0,-1.0,1,-1
2020-10-28,22.0,-1.0,1.0,-1.0,2,-1
2020-10-29,0.0,0.0,-2.0,1.0,3,-1
2020-10-30,26.0,-1.0,11.0,-1.0,1,-1
2020-10-31,12.0,-1.0,,,1,-1
2020-11-01,2.0,-1.0,,,0,0
2020-11-02,8.0,-1.0,2.0,-1.0,0,0
2020-11-03,22.0,-1.0,6.0,-1.0,8,-1
2020-11-04,36.0,-1.0,11.0,-1.0,4,-1
2020-11-05,34.0,-1.0,4.0,-1.0,3,-1
2020-11-06,32.0,-1.0,1.0,-1.0,3,-1
2020-11-07,14.0,-1.0,,,0,0
2020-11-08,2.0,-1.0,,,2,-1
2020-11-09,44.0,-1.0,5.0,-1.0,1,-1
2020-11-10,30.0,-1.0,4.0,-1.0,3,-1
2020-11-11,32.0,-1.0,5.0,-1.0,5,-1
2020-11-12,50.0,-1.0,1.0,-1.0,5,-1
2020-11-13,40.0,-1.0,7.0,-1.0,5,-1
2020-11-14,12.0,-1.0,,,0,0
2020-11-15,2.0,-1.0,,,-3,1
2020-11-16,38.0,-1.0,11.0,-1.0,1,-1
2020-11-17,22.0,-1.0,7.0,-1.0,3,-1
2020-11-18,28.0,-1.0,1.0,-1.0,2,-1
2020-11-19,40.0,-1.0,-1.0,1.0,3,-1
2020-11-20,34.0,-1.0,1.0,-1.0,1,-1
2020-11-21,8.0,-1.0,0.0,0.0,1,-1
2020-11-22,4.0,-1.0,,,1,-1
2020-11-23,40.0,-1.0,8.0,-1.0,2,-1
2020-11-24,38.0,-1.0,15.0,-1.0,2,-1
2020-11-25,30.0,-1.0,5.0,-1.0,5,-1
2020-11-26,24.0,-1.0,6.0,-1.0,4,-1
2020-11-27,24.0,-1.0,4.0,-1.0,2,-1
2020-11-28,10.0,-1.0,,,6,-1
2020-11-29,10.0,-1.0,,,2,-1
2020-11-30,34.0,-1.0,10.0,-1.0,0,0
2020-12-01,32.0,-1.0,-1.0,1.0,6,-1
2020-12-02,28.0,-1.0,1.0,-1.0,2,-1
2020-12-03,30.0,-1.0,-2.0,1.0,2,-1
2020-12-04,20.0,-1.0,1.0,-1.0,3,-1
2020-12-05,8.0,-1.0,,,-10,1
2020-12-06,10.0,-1.0,,,-2,1
2020-12-07,26.0,-1.0,1.0,-1.0,7,-1
2020-12-08,8.0,-1.0,5.0,-1.0,5,-1
2020-12-09,24.0,-1.0,1.0,-1.0,0,0
2020-12-10,36.0,-1.0,0.0,0.0,1,-1
2020-12-11,24.0,-1.0,16.0,-1.0,4,-1
2020-12-12,14.0,-1.0,,,6,-1
2020-12-13,6.0,-1.0,,,1,-1
2020-12-14,14.0,-1.0,1.0,-1.0,1,-1
2020-12-15,22.0,-1.0,-1.0,1.0,-4,1
2020-12-16,26.0,-1.0,8.0,-1.0,3,-1
2020-12-17,26.0,-1.0,2.0,-1.0,2,-1
2020-12-18,36.0,-1.0,10.0,-1.0,1,-1
2020-12-19,8.0,-1.0,0.0,0.0,0,0
2020-12-20,8.0,-1.0,,,0,0
2020-12-21,12.0,-1.0,10.0,-1.0,-1,1
2020-12-22,-2.0,1.0,-6.0,1.0,4,-1
2020-12-23,6.0,-1.0,3.0,-1.0,2,-1
2020-12-24,28.0,-1.0,6.0,-1.0,5,-1
2020-12-25,20.0,-1.0,4.0,-1.0,7,-1
2020-12-26,-4.0,1.0,,,0,0
2020-12-27,2.0,-1.0,,,3,-1
2020-12-28,30.0,-1.0,1.0,-1.0,6,-1
2020-12-29,28.0,-1.0,2.0,-1.0,5,-1
2020-12-30,28.0,-1.0,14.0,-1.0,3,-1
2020-12-31,34.0,-1.0,4.0,-1.0,13,-1
2021-01-01,18.0,-1.0,,,6,-1
2021-01-02,8.0,-1.0,,,-2,1
2021-01-03,2.0,-1.0,,,1,-1
2021-01-04,20.0,-1.0,2.0,-1.0,5,-1
2021-01-05,32.0,-1.0,6.0,-1.0,5,-1
2021-01-06,40.0,-1.0,4.0,-1.0,1,-1
2021-01-07,64.0,-1.0,-1.0,1.0,0,0
2021-01-08,56.0,-1.0,5.0,-1.0,7,-1
2021-01-09,12.0,-1.0,,,2,-1
2021-01-10,0.0,0.0,,,1,-1
2021-01-11,38.0,-1.0,4.0,-1.0,6,-1
2021-01-12,30.0,-1.0,0.0,0.0,1,-1
2021-01-13,34.0,-1.0,10.0,-1.0,3,-1
2021-01-14,36.0,-1.0,2.0,-1.0,12,-1
2021-01-15,12.0,-1.0,11.0,-1.0,2,-1
2021-01-16,-8.0,1.0,,,2,-1
2021-01-17,12.0,-1.0,,,2,-1
2021-01-18,36.0,-1.0,1.0,-1.0,4,-1
2021-01-19,36.0,-1.0,14.0,-1.0,-3,1
2021-01-20,30.0,-1.0,1.0,-1.0,1,-1
2021-01-21,32.0,-1.0,3.0,-1.0,4,-1
2021-01-22,2.0,-1.0,7.0,-1.0,3,-1
2021-01-23,10.0,-1.0,,,-8,1
2021-01-24,6.0,-1.0,,,0,0
2021-01-25,16.0,-1.0,0.0,0.0,7,-1
2021-01-26,32.0,-1.0,0.0,0.0,4,-1
2021-01-27,38.0,-1.0,10.0,-1.0,9,-1
2021-01-28,4.0,-1.0,3.0,-1.0,7,-1
2021-01-29,34.0,-1.0,2.0,-1.0,-2,1
2021-01-30,4.0,-1.0,,,1,-1
2021-01-31,-6.0,1.0,,,-3,1
2021-02-01,22.0,-1.0,8.0,-1.0,-2,1
2021-02-02,22.0,-1.0,4.0,-1.0,6,-1
2021-02-03,40.0,-1.0,1.0,-1.0,2,-1
2021-02-04,48.0,-1.0,5.0,-1.0,6,-1
2021-02-05,46.0,-1.0,11.0,-1.0,6,-1
2021-02-06,4.0,-1.0,0.0,0.0,0,0
2021-02-07,0.0,0.0,,,7,-1
2021-02-08,44.0,-1.0,,,15,-1
2021-02-09,24.0,-1.0,0.0,0.0,6,-1
2021-02-10,2.0,-1.0,,,2,-1
2021-02-11,6.0,-1.0,,,1,-1
2021-02-12,8.0,-1.0,,,1,-1
2021-02-13,8.0,-1.0,,,2,-1
2021-02-14,0.0,0.0,,,0,0
2021-02-15,8.0,-1.0,0.0,0.0,0,0
2021-02-16,6.0,-1.0,0.0,0.0,4,-1
2021-02-17,44.0,-1.0,2.0,-1.0,9,-1
2021-02-18,22.0,-1.0,0.0,0.0,7,-1
2021-02-19,18.0,-1.0,-3.0,1.0,2,-1
2021-02-20,22.0,-1.0,,,-9,1
2021-02-21,8.0,-1.0,,,2,-1
2021-02-22,34.0,-1.0,8.0,-1.0,2,-1
2021-02-23,4.0,-1.0,3.0,-1.0,8,-1
2021-02-24,12.0,-1.0,4.0,-1.0,16,-1
2021-02-25,64.0,-1.0,7.0,-1.0,1,-1
2021-02-26,4.0,-1.0,6.0,-1.0,2,-1
2021-02-27,8.0,-1.0,,,-9,1
2021-02-28,4.0,-1.0,,,6,-1
2021-03-01,16.0,-1.0,,,3,-1
2021-03-02,18.0,-1.0,4.0,-1.0,7,-1
2021-03-03,48.0,-1.0,5.0,-1.0,-1,1
2021-03-04,12.0,-1.0,-5.0,1.0,5,-1
2021-03-05,-8.0,1.0,-1.0,1.0,1,-1
2021-03-06,6.0,-1.0,,,2,-1
2021-03-07,0.0,0.0,,,0,0
2021-03-08,6.0,-1.0,2.0,-1.0,0,0
2021-03-09,34.0,-1.0,-7.0,1.0,3,-1
2021-03-10,38.0,-1.0,2.0,-1.0,2,-1
2021-03-11,54.0,-1.0,1.0,-1.0,-1,1
2021-03-12,36.0,-1.0,4.0,-1.0,7,-1
2021-03-13,4.0,-1.0,,,2,-1
2021-03-14,8.0,-1.0,,,1,-1
2021-03-15,48.0,-1.0,0.0,0.0,2,-1
2021-03-16,30.0,-1.0,4.0,-1.0,-7,1
2021-03-17,20.0,-1.0,0.0,0.0,-3,1
2021-03-18,24.0,-1.0,3.0,-1.0,3,-1
2021-03-19,2.0,-1.0,-10.0,1.0,4,-1
2021-03-20,14.0,-1.0,,,1,-1
2021-03-21,4.0,-1.0,,,-1,1
2021-03-22,32.0,-1.0,3.0,-1.0,7,-1
2021-03-23,40.0,-1.0,4.0,-1.0,7,-1
2021-03-24,10.0,-1.0,-4.0,1.0,4,-1
2021-03-25,26.0,-1.0,0.0,0.0,-4,1
2021-03-26,58.0,-1.0,5.0,-1.0,0,0
2021-03-27,0.0,0.0,,,2,-1
2021-03-28,2.0,-1.0,,,4,-1
2021-03-29,28.0,-1.0,5.0,-1.0,3,-1
2021-03-30,2.0,-1.0,-3.0,1.0,-1,1
2021-03-31,2.0,-1.0,-1.0,1.0,1,-1
2021-04-01,22.0,-1.0,9.0,-1.0,5,-1
2021-04-02,18.0,-1.0,,,2,-1
2021-04-03,0.0,0.0,,,1,-1
2021-04-04,0.0,0.0,,,-3,1
2021-04-05,16.0,-1.0,,,-8,1
2021-04-06,34.0,-1.0,-2.0,1.0,2,-1
2021-04-07,28.0,-1.0,11.0,-1.0,1,-1
2021-04-08,42.0,-1.0,6.0,-1.0,4,-1
2021-04-09,44.0,-1.0,2.0,-1.0,7,-1
2021-04-10,12.0,-1.0,,,4,-1
2021-04-11,12.0,-1.0,,,2,-1
2021-04-12,42.0,-1.0,0.0,0.0,9,-1
2021-04-13,38.0,-1.0,9.0,-1.0,0,0
2021-04-14,44.0,-1.0,11.0,-1.0,-1,1
2021-04-15,34.0,-1.0,12.0,-1.0,-9,1
2021-04-16,22.0,-1.0,10.0,-1.0,0,0
2021-04-17,16.0,-1.0,,,-4,1
2021-04-18,0.0,0.0,,,2,-1
2021-04-19,16.0,-1.0,3.0,-1.0,9,-1
2021-04-20,26.0,-1.0,10.0,-1.0,3,-1
2021-04-21,22.0,-1.0,2.0,-1.0,11,-1
2021-04-22,28.0,-1.0,8.0,-1.0,1,-1
2021-04-23,32.0,-1.0,7.0,-1.0,10,-1
2021-04-24,24.0,-1.0,,,-1,1
2021-04-25,6.0,-1.0,,,-2,1
2021-04-26,38.0,-1.0,10.0,-1.0,4,-1
2021-04-27,52.0,-1.0,4.0,-1.0,11,-1
2021-04-28,66.0,-1.0,11.0,-1.0,3,-1
2021-04-29,54.0,-1.0,9.0,-1.0,11,-1
2021-04-30,8.0,-1.0,,,7,-1
2021-05-01,4.0,-1.0,,,-5,1
2021-05-02,0.0,0.0,,,-2,1
2021-05-03,0.0,0.0,14.0,-1.0,7,-1
2021-05-04,24.0,-1.0,5.0,-1.0,-7,1
2021-05-05,40.0,-1.0,8.0,-1.0,9,-1
2021-05-06,30.0,-1.0,9.0,-1.0,6,-1
2021-05-07,32.0,-1.0,0.0,0.0,16,-1
2021-05-08,6.0,-1.0,,,3,-1
